county,municipality,Kvotflykting,of_which_unaccompanied_minors,Ordnat,of_which_unaccompanied_minors.1,Eget,of_which_unaccompanied_minors.2,Övriga,of_which_unaccompanied_minors.3,Anhöriga,of_which_unaccompanied_minors.4,total,of_which_unaccompanied_minors.5
,ÅNGE,6.0,0.0,7.0,7.0,6.0,0.0,1.0,0.0,12.0,0.0,32.0,7.0
,ÖRNSKÖLDSVIK,36.0,0.0,81.0,14.0,129.0,4.0,3.0,0.0,55.0,0.0,304.0,18.0
VÄSTERNORRLANDS LÄN,Delsumma,202.0,1.0,247.0,70.0,907.0,23.0,13.0,0.0,403.0,0.0,1772.0,94.0
VÄSTMANLANDS LÄN,ARBOGA,1.0,0.0,21.0,5.0,98.0,2.0,2.0,0.0,64.0,0.0,186.0,7.0
,FAGERSTA,0.0,0.0,7.0,2.0,136.0,5.0,1.0,0.0,103.0,0.0,247.0,7.0
,HALLSTAHAMMAR,7.0,0.0,18.0,8.0,46.0,2.0,0.0,0.0,30.0,0.0,101.0,10.0
,KUNGSÖR,0.0,0.0,32.0,8.0,38.0,0.0,0.0,0.0,37.0,0.0,107.0,8.0
,KÖPING,5.0,0.0,28.0,7.0,67.0,2.0,2.0,0.0,49.0,0.0,151.0,9.0
,NORBERG,0.0,0.0,19.0,8.0,65.0,3.0,0.0,0.0,16.0,0.0,100.0,11.0
,SALA,23.0,1.0,54.0,9.0,54.0,2.0,0.0,0.0,34.0,0.0,165.0,12.0
,SKINNSKATTEBERG,0.0,0.0,12.0,12.0,20.0,1.0,0.0,0.0,9.0,0.0,41.0,13.0
,SURAHAMMAR,0.0,0.0,41.0,6.0,24.0,0.0,0.0,0.0,9.0,0.0,74.0,6.0
,VÄSTERÅS,5.0,0.0,71.0,32.0,457.0,20.0,6.0,0.0,145.0,0.0,684.0,52.0
VÄSTMANLANDS LÄN,Delsumma,41.0,1.0,303.0,97.0,1005.0,37.0,11.0,0.0,496.0,0.0,1856.0,135.0
VÄSTRA GÖTALANDS LÄN,ALE,0.0,0.0,15.0,3.0,15.0,1.0,0.0,0.0,39.0,0.0,69.0,4.0
,ALINGSÅS,3.0,0.0,58.0,6.0,53.0,0.0,0.0,0.0,50.0,0.0,164.0,6.0
,BENGTSFORS,0.0,0.0,16.0,1.0,63.0,2.0,1.0,0.0,84.0,0.0,164.0,3.0
,BOLLEBYGD,0.0,0.0,7.0,2.0,5.0,0.0,0.0,0.0,3.0,0.0,15.0,2.0
,BORÅS,1.0,0.0,31.0,15.0,296.0,7.0,3.0,0.0,258.0,0.0,589.0,22.0
,DALS-ED,0.0,0.0,23.0,2.0,14.0,1.0,0.0,0.0,5.0,0.0,42.0,3.0
,ESSUNGA,11.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,30.0,1.0
,FALKÖPING,0.0,0.0,11.0,5.0,164.0,11.0,1.0,0.0,134.0,0.0,310.0,16.0
,FÄRGELANDA,13.0,0.0,12.0,5.0,20.0,5.0,0.0,0.0,13.0,0.0,58.0,10.0
,GRÄSTORP,0.0,0.0,14.0,0.0,9.0,0.0,0.0,0.0,5.0,0.0,28.0,0.0
,GULLSPÅNG,15.0,0.0,11.0,9.0,34.0,1.0,0.0,0.0,14.0,0.0,74.0,10.0
,GÖTEBORG,0.0,0.0,146.0,113.0,1187.0,86.0,21.0,3.0,765.0,1.0,2119.0,203.0
,GÖTENE,0.0,0.0,7.0,6.0,35.0,2.0,0.0,0.0,23.0,0.0,65.0,8.0
,HERRLJUNGA,2.0,2.0,2.0,2.0,9.0,0.0,2.0,1.0,27.0,0.0,42.0,5.0
,HJO,0.0,0.0,7.0,3.0,36.0,2.0,0.0,0.0,27.0,0.0,70.0,5.0
,HÄRRYDA,0.0,0.0,12.0,2.0,7.0,1.0,0.0,0.0,6.0,0.0,25.0,3.0
,KARLSBORG,0.0,0.0,16.0,6.0,24.0,1.0,0.0,0.0,13.0,0.0,53.0,7.0
,KUNGÄLV,0.0,0.0,22.0,5.0,12.0,1.0,0.0,0.0,6.0,0.0,40.0,6.0
,LERUM,0.0,0.0,12.0,9.0,8.0,3.0,0.0,0.0,15.0,0.0,35.0,12.0
,LIDKÖPING,0.0,0.0,27.0,7.0,34.0,1.0,2.0,0.0,18.0,0.0,81.0,8.0
,LILLA EDET,0.0,0.0,3.0,2.0,7.0,0.0,0.0,0.0,10.0,0.0,20.0,2.0
,LYSEKIL,0.0,0.0,15.0,3.0,102.0,3.0,0.0,0.0,53.0,0.0,170.0,6.0
,MARIESTAD,3.0,0.0,20.0,3.0,30.0,5.0,0.0,0.0,47.0,0.0,100.0,8.0
,MARK,4.0,0.0,38.0,14.0,34.0,1.0,0.0,0.0,25.0,0.0,101.0,15.0
,MELLERUD,1.0,0.0,29.0,3.0,101.0,4.0,1.0,0.0,96.0,0.0,228.0,7.0
,MUNKEDAL,0.0,0.0,14.0,4.0,31.0,1.0,0.0,0.0,41.0,0.0,86.0,5.0
,MÖLNDAL,0.0,0.0,32.0,32.0,30.0,4.0,0.0,0.0,48.0,0.0,110.0,36.0
,ORUST,0.0,0.0,23.0,4.0,6.0,0.0,0.0,0.0,1.0,0.0,30.0,4.0
,PARTILLE,0.0,0.0,22.0,12.0,15.0,0.0,1.0,0.0,30.0,0.0,68.0,12.0
,SKARA,0.0,0.0,15.0,7.0,95.0,2.0,4.0,1.0,76.0,0.0,190.0,10.0
,SKÖVDE,19.0,0.0,45.0,7.0,155.0,8.0,2.0,1.0,64.0,0.0,285.0,16.0
,SOTENÄS,0.0,0.0,22.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,25.0,4.0
,STENUNGSUND,6.0,0.0,22.0,4.0,13.0,0.0,0.0,0.0,14.0,0.0,55.0,4.0
,STRÖMSTAD,20.0,0.0,7.0,7.0,8.0,0.0,0.0,0.0,8.0,0.0,43.0,7.0
,SVENLJUNGA,0.0,0.0,22.0,2.0,29.0,0.0,3.0,0.0,30.0,0.0,84.0,2.0
,TANUM,19.0,0.0,30.0,7.0,14.0,0.0,0.0,0.0,11.0,0.0,74.0,7.0
,TIBRO,0.0,0.0,17.0,0.0,104.0,2.0,0.0,0.0,40.0,0.0,161.0,2.0
,TIDAHOLM,0.0,0.0,15.0,14.0,58.0,1.0,0.0,0.0,32.0,0.0,105.0,15.0
,TJÖRN,0.0,0.0,7.0,7.0,16.0,0.0,0.0,0.0,30.0,0.0,53.0,7.0
,TRANEMO,7.0,0.0,41.0,1.0,29.0,0.0,0.0,0.0,15.0,0.0,92.0,1.0
,TROLLHÄTTAN,0.0,0.0,16.0,13.0,168.0,14.0,3.0,0.0,177.0,0.0,364.0,27.0
,TÖREBODA,0.0,0.0,23.0,0.0,58.0,7.0,0.0,0.0,76.0,0.0,157.0,7.0
,UDDEVALLA,4.0,0.0,20.0,13.0,147.0,6.0,1.0,0.0,156.0,0.0,328.0,19.0
,ULRICEHAMN,2.0,0.0,28.0,9.0,58.0,4.0,1.0,0.0,45.0,0.0,134.0,13.0
,VARA,21.0,0.0,7.0,1.0,26.0,1.0,0.0,0.0,14.0,0.0,68.0,2.0
,VÅRGÅRDA,3.0,0.0,23.0,4.0,22.0,1.0,0.0,0.0,8.0,0.0,56.0,5.0
,VÄNERSBORG,0.0,0.0,19.0,5.0,168.0,4.0,3.0,0.0,198.0,0.0,388.0,9.0
,ÅMÅL,0.0,0.0,14.0,8.0,108.0,2.0,1.0,0.0,142.0,0.0,265.0,10.0
,ÖCKERÖ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
VÄSTRA GÖTALANDS LÄN,Delsumma,154.0,2.0,1051.0,391.0,3661.0,196.0,50.0,6.0,2998.0,1.0,7914.0,596.0
ÖREBRO LÄN,ASKERSUND,3.0,0.0,12.0,2.0,55.0,1.0,0.0,0.0,43.0,0.0,113.0,3.0
,DEGERFORS,0.0,0.0,13.0,5.0,46.0,0.0,1.0,0.0,28.0,0.0,88.0,5.0
,HALLSBERG,7.0,0.0,9.0,1.0,64.0,3.0,1.0,0.0,38.0,0.0,119.0,4.0
,HÄLLEFORS,0.0,0.0,5.0,3.0,111.0,0.0,1.0,0.0,27.0,0.0,144.0,3.0
,KARLSKOGA,0.0,0.0,16.0,11.0,119.0,0.0,0.0,0.0,131.0,0.0,266.0,11.0
,KUMLA,5.0,0.0,20.0,5.0,35.0,2.0,0.0,0.0,15.0,0.0,75.0,7.0
,LAXÅ,9.0,0.0,40.0,20.0,37.0,1.0,1.0,0.0,20.0,0.0,107.0,21.0
,LEKEBERG,17.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,27.0,0.0
,LINDESBERG,1.0,0.0,22.0,10.0,213.0,11.0,4.0,0.0,112.0,0.0,352.0,21.0
,LJUSNARSBERG,0.0,0.0,6.0,4.0,86.0,3.0,2.0,0.0,35.0,0.0,129.0,7.0
,NORA,6.0,0.0,10.0,6.0,35.0,0.0,1.0,0.0,28.0,0.0,80.0,6.0
,ÖREBRO,9.0,0.0,69.0,26.0,371.0,25.0,11.0,3.0,154.0,0.0,614.0,54.0
ÖREBRO LÄN,Delsumma,57.0,0.0,223.0,93.0,1177.0,46.0,22.0,3.0,635.0,0.0,2114.0,142.0
ÖSTERGÖTLANDS LÄN,BOXHOLM,0.0,0.0,4.0,2.0,23.0,0.0,0.0,0.0,9.0,0.0,36.0,2.0
,FINSPÅNG,0.0,0.0,23.0,4.0,75.0,0.0,2.0,0.0,29.0,0.0,129.0,4.0
,KINDA,10.0,0.0,19.0,5.0,9.0,0.0,0.0,0.0,3.0,0.0,41.0,5.0
,LINKÖPING,1.0,0.0,36.0,30.0,166.0,7.0,8.0,1.0,118.0,0.0,329.0,38.0
,MJÖLBY,3.0,0.0,30.0,6.0,30.0,2.0,1.0,0.0,16.0,0.0,80.0,8.0
,MOTALA,30.0,0.0,43.0,13.0,218.0,4.0,0.0,0.0,97.0,0.0,388.0,17.0
,NORRKÖPING,0.0,0.0,50.0,19.0,517.0,24.0,9.0,0.0,245.0,0.0,821.0,43.0
,SÖDERKÖPING,6.0,0.0,9.0,7.0,1.0,1.0,0.0,0.0,3.0,0.0,19.0,8.0
,VADSTENA,0.0,0.0,15.0,6.0,12.0,1.0,0.0,0.0,5.0,1.0,32.0,8.0
,VALDEMARSVIK,4.0,0.0,37.0,6.0,50.0,6.0,0.0,0.0,44.0,0.0,135.0,12.0
,YDRE,0.0,0.0,18.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,24.0,5.0
,ÅTVIDABERG,0.0,0.0,19.0,8.0,22.0,4.0,0.0,0.0,33.0,0.0,74.0,12.0
,ÖDESHÖG,0.0,0.0,13.0,6.0,16.0,1.0,0.0,0.0,7.0,0.0,36.0,7.0
ÖSTERGÖTLANDS LÄN,Delsumma,54.0,0.0,316.0,117.0,1139.0,50.0,20.0,1.0,615.0,1.0,2144.0,169.0
,Totalt,1897.0,13.0,6848.0,2536.0,26036.0,1208.0,579.0,30.0,15837.0,7.0,51197.0,3794.0
