county,municipality,Kvotflykting,of_which_unaccompanied_minors,Ordnat,of_which_unaccompanied_minors.1,Eget,of_which_unaccompanied_minors.2,Övriga,of_which_unaccompanied_minors.3,Anhöriga,of_which_unaccompanied_minors.4,total,of_which_unaccompanied_minors.5
JÖNKÖPINGS LÄN,ANEBY,28.0,0.0,22.0,1.0,19.0,2.0,0.0,0.0,30.0,0.0,99.0,3.0
,EKSJÖ,0.0,0.0,6.0,4.0,90.0,5.0,2.0,0.0,23.0,0.0,121.0,9.0
,GISLAVED,31.0,0.0,44.0,5.0,216.0,10.0,0.0,0.0,129.0,0.0,420.0,15.0
,GNOSJÖ,8.0,0.0,18.0,1.0,65.0,0.0,0.0,0.0,23.0,0.0,114.0,1.0
,HABO,6.0,0.0,3.0,1.0,5.0,0.0,0.0,0.0,3.0,0.0,17.0,1.0
,JÖNKÖPING,4.0,0.0,56.0,13.0,372.0,11.0,4.0,0.0,129.0,0.0,565.0,24.0
,MULLSJÖ,3.0,0.0,8.0,5.0,4.0,0.0,0.0,0.0,2.0,0.0,17.0,5.0
,NÄSSJÖ,1.0,0.0,8.0,4.0,273.0,12.0,1.0,0.0,194.0,0.0,477.0,16.0
,SÄVSJÖ,0.0,0.0,6.0,1.0,109.0,3.0,1.0,0.0,100.0,0.0,216.0,4.0
,TRANÅS,0.0,0.0,26.0,8.0,88.0,1.0,0.0,0.0,23.0,0.0,137.0,9.0
,VAGGERYD,8.0,0.0,4.0,4.0,18.0,2.0,0.0,0.0,4.0,0.0,34.0,6.0
,VETLANDA,14.0,0.0,11.0,5.0,123.0,5.0,3.0,0.0,105.0,0.0,256.0,10.0
,VÄRNAMO,71.0,1.0,13.0,6.0,32.0,0.0,3.0,0.0,30.0,0.0,149.0,7.0
JÖNKÖPINGS LÄN,Delsumma,174.0,1.0,225.0,58.0,1414.0,51.0,14.0,0.0,795.0,0.0,2622.0,110.0
KALMAR LÄN,BORGHOLM,9.0,0.0,28.0,6.0,18.0,1.0,1.0,0.0,22.0,0.0,78.0,7.0
,EMMABODA,19.0,0.0,3.0,2.0,46.0,3.0,4.0,0.0,26.0,0.0,98.0,5.0
,HULTSFRED,0.0,0.0,45.0,11.0,247.0,17.0,3.0,0.0,115.0,0.0,410.0,28.0
,HÖGSBY,24.0,0.0,9.0,2.0,155.0,13.0,3.0,0.0,49.0,0.0,240.0,15.0
,KALMAR,26.0,0.0,71.0,15.0,94.0,4.0,1.0,0.0,83.0,0.0,275.0,19.0
,MÖNSTERÅS,1.0,0.0,7.0,3.0,66.0,7.0,0.0,0.0,49.0,1.0,123.0,11.0
,MÖRBYLÅNGA,10.0,0.0,18.0,2.0,23.0,2.0,0.0,0.0,3.0,0.0,54.0,4.0
,NYBRO,0.0,0.0,14.0,9.0,229.0,12.0,3.0,1.0,92.0,0.0,338.0,22.0
,OSKARSHAMN,10.0,0.0,37.0,8.0,82.0,5.0,2.0,0.0,30.0,0.0,161.0,13.0
,TORSÅS,7.0,0.0,17.0,4.0,37.0,2.0,1.0,0.0,9.0,0.0,71.0,6.0
,VIMMERBY,16.0,0.0,11.0,7.0,84.0,0.0,5.0,0.0,48.0,0.0,164.0,7.0
