municipality,domID
ÄLVKARLEBY,SE-UP-AL
ENKÖPING,SE-UP-EN
HÅBO,SE-UP-HA
KNIVSTA,SE-UP-KN
TIERP,SE-UP-TI
UPPSALA,SE-UP-UP
ÅRJÄNG,SE-VR-AJ
ARVIKA,SE-VR-AV
EDA,SE-VR-ED
FILIPSTAD,SE-VR-FI
FORSHAGA,SE-VR-FO
GRUMS,SE-VR-GR
HAGFORS,SE-VR-HG
HAMMARÖ,SE-VR-HM
KARLSTAD,SE-VR-KA
KIL,SE-VR-KI
KRISTINEHAMN,SE-VR-KR
MUNKFORS,SE-VR-MU
SÄFFLE,SE-VR-SA
STORFORS,SE-VR-ST
SUNNE,SE-VR-SU
TORSBY,SE-VR-TO
ÅSELE,SE-VB-AS
BJURHOLM,SE-VB-BJ
DOROTEA,SE-VB-DO
LYCKSELE,SE-VB-LY
MALÅ,SE-VB-MA
NORDMALING,SE-VB-NM
NORSJÖ,SE-VB-NS
ROBERTSFORS,SE-VB-RO
SKELLEFTEÅ,SE-VB-SK
SORSELE,SE-VB-SO
STORUMAN,SE-VB-ST
UMEÅ,SE-VB-UM
VÄNNÄS,SE-VB-VA
VILHELMINA,SE-VB-VH
VINDELN,SE-VB-VD
ÖRNSKÖLDSVIK,SE-VN-OR
ÅNGE,SE-VN-AN
HÄRNÖSAND,SE-VN-HA
KRAMFORS,SE-VN-KR
SOLLEFTEÅ,SE-VN-SO
SUNDSVALL,SE-VN-SU
TIMRÅ,SE-VN-TI
ARBOGA,SE-VM-AR
FAGERSTA,SE-VM-FA
HALLSTAHAMMAR,SE-VM-HA
HEBY,SE-VM-HE
KÖPING,SE-VM-KO
KUNGSÖR,SE-VM-KU
NORBERG,SE-VM-NO
SALA,SE-VM-SA
SKINNSKATTEBERG,SE-VM-SK
SURAHAMMAR,SE-VM-SU
VÄSTERÅS,SE-VM-VA
ÖCKERÖ,SE-VG-OC
ÅMÅL,SE-VG-AM
ALE,SE-VG-AE
ALINGSÅS,SE-VG-AS
BENGTSFORS,SE-VG-BE
BOLLEBYGD,SE-VG-BL
BORÅS,SE-VG-BR
DALS-ED,SE-VG-DE
ESSUNGA,SE-VG-ES
FÄRGELANDA,SE-VG-FG
FALKÖPING,SE-VG-FK
GÖTEBORG,SE-VG-GB
GÖTENE,SE-VG-GN
GRÄSTORP,SE-VG-GR
GULLSPÅNG,SE-VG-GU
HÄRRYDA,SE-VG-HA
HABO,SE-JO-HA
HERRLJUNGA,SE-VG-HE
HJO,SE-VG-HJ
KARLSBORG,SE-VG-KA
KUNGÄLV,SE-VG-KU
LERUM,SE-VG-LR
LIDKÖPING,SE-VG-LI
LILLA EDET,SE-VG-LE
LYSEKIL,SE-VG-LY
MÖLNDAL,SE-VG-MO
MARIESTAD,SE-VG-MS
MARK,SE-VG-MK
MELLERUD,SE-VG-ME
MULLSJÖ,SE-VG-ML
MUNKEDAL,SE-VG-MU
ORUST,SE-VG-OR
PARTILLE,SE-VG-PA
SKÖVDE,SE-VG-SD
SKARA,SE-VG-SK
SOTENÄS,SE-VG-SO
STENUNGSUND,SE-VG-SS
STRÖMSTAD,SE-VG-ST
SVENLJUNGA,SE-VG-SV
TÖREBODA,SE-VG-TO
TANUM,SE-VG-TA
TIBRO,SE-VG-TB
TIDAHOLM,SE-VG-TD
TJÖRN,SE-VG-TJ
TRANEMO,SE-VG-TM
TROLLHÄTTAN,SE-VG-TR
UDDEVALLA,SE-VG-UD
ULRICEHAMN,SE-VG-UL
VÄNERSBORG,SE-VG-VB
VÅRGÅRDA,SE-VG-VG
VARA,SE-VG-VA
