county,municipality,0-17,of_which_unaccompanied_minors,18-19,of_which_unaccompanied_minors.1,20-64,of_which_unaccompanied_minors.2,>64,of_which_unaccompanied_minors.3,total,of_which_unaccompanied_minors.4
,TRANÅS,61.0,9.0,3.0,0.0,70.0,0.0,3.0,0.0,137.0,9.0
,VAGGERYD,10.0,5.0,2.0,1.0,20.0,0.0,2.0,0.0,34.0,6.0
,VETLANDA,112.0,8.0,6.0,1.0,133.0,1.0,5.0,0.0,256.0,10.0
,VÄRNAMO,64.0,7.0,4.0,0.0,80.0,0.0,1.0,0.0,149.0,7.0
JÖNKÖPINGS LÄN,Delsumma,1097.0,82.0,91.0,22.0,1407.0,6.0,27.0,0.0,2622.0,110.0
KALMAR LÄN,BORGHOLM,38.0,7.0,4.0,0.0,36.0,0.0,0.0,0.0,78.0,7.0
,EMMABODA,43.0,4.0,1.0,1.0,53.0,0.0,1.0,0.0,98.0,5.0
,HULTSFRED,173.0,27.0,20.0,1.0,217.0,0.0,0.0,0.0,410.0,28.0
,HÖGSBY,100.0,14.0,6.0,0.0,131.0,1.0,3.0,0.0,240.0,15.0
,KALMAR,118.0,16.0,9.0,3.0,144.0,0.0,4.0,0.0,275.0,19.0
,MÖNSTERÅS,52.0,8.0,8.0,3.0,63.0,0.0,0.0,0.0,123.0,11.0
,MÖRBYLÅNGA,26.0,3.0,2.0,1.0,25.0,0.0,1.0,0.0,54.0,4.0
,NYBRO,126.0,17.0,18.0,5.0,193.0,0.0,1.0,0.0,338.0,22.0
,OSKARSHAMN,67.0,13.0,3.0,0.0,91.0,0.0,0.0,0.0,161.0,13.0
,TORSÅS,25.0,4.0,3.0,2.0,42.0,0.0,1.0,0.0,71.0,6.0
,VIMMERBY,67.0,6.0,6.0,1.0,91.0,0.0,0.0,0.0,164.0,7.0
,VÄSTERVIK,107.0,17.0,15.0,6.0,166.0,0.0,1.0,0.0,289.0,23.0
KALMAR LÄN,Delsumma,942.0,136.0,95.0,23.0,1252.0,1.0,12.0,0.0,2301.0,160.0
KRONOBERGS LÄN,ALVESTA,89.0,13.0,7.0,2.0,114.0,2.0,0.0,0.0,210.0,17.0
,LESSEBO,113.0,12.0,8.0,3.0,117.0,1.0,2.0,0.0,240.0,16.0
,LJUNGBY,58.0,8.0,7.0,4.0,67.0,0.0,2.0,0.0,134.0,12.0
,MARKARYD,83.0,8.0,4.0,2.0,98.0,1.0,3.0,0.0,188.0,11.0
,TINGSRYD,85.0,7.0,9.0,3.0,99.0,2.0,0.0,0.0,193.0,12.0
,UPPVIDINGE,72.0,12.0,3.0,1.0,84.0,0.0,2.0,0.0,161.0,13.0
,VÄXJÖ,167.0,17.0,19.0,5.0,237.0,3.0,6.0,0.0,429.0,25.0
,ÄLMHULT,38.0,2.0,2.0,1.0,52.0,0.0,0.0,0.0,92.0,3.0
KRONOBERGS LÄN,Delsumma,705.0,79.0,59.0,21.0,868.0,9.0,15.0,0.0,1647.0,109.0
NORRBOTTENS LÄN,ARJEPLOG,18.0,3.0,2.0,0.0,12.0,0.0,0.0,0.0,32.0,3.0
,ARVIDSJAUR,8.0,0.0,1.0,0.0,22.0,0.0,3.0,0.0,34.0,0.0
,BODEN,80.0,12.0,6.0,0.0,115.0,1.0,0.0,0.0,201.0,13.0
,GÄLLIVARE,21.0,7.0,0.0,0.0,17.0,0.0,0.0,0.0,38.0,7.0
,HAPARANDA,31.0,5.0,3.0,0.0,25.0,0.0,0.0,0.0,59.0,5.0
,JOKKMOKK,21.0,5.0,0.0,0.0,30.0,0.0,0.0,0.0,51.0,5.0
,KALIX,20.0,9.0,0.0,0.0,14.0,1.0,0.0,0.0,34.0,10.0
,KIRUNA,25.0,8.0,3.0,1.0,35.0,1.0,0.0,0.0,63.0,10.0
,LULEÅ,51.0,9.0,4.0,3.0,56.0,1.0,2.0,0.0,113.0,13.0
,PAJALA,10.0,1.0,0.0,0.0,15.0,0.0,0.0,0.0,25.0,1.0
,PITEÅ,50.0,12.0,5.0,0.0,44.0,0.0,0.0,0.0,99.0,12.0
,ÄLVSBYN,22.0,5.0,1.0,0.0,30.0,0.0,0.0,0.0,53.0,5.0
,ÖVERKALIX,23.0,2.0,1.0,0.0,10.0,0.0,2.0,0.0,36.0,2.0
,ÖVERTORNEÅ,14.0,8.0,2.0,1.0,14.0,1.0,1.0,0.0,31.0,10.0
NORRBOTTENS LÄN,Delsumma,394.0,86.0,28.0,5.0,439.0,5.0,8.0,0.0,869.0,96.0
SKÅNE LÄN,BJUV,40.0,5.0,1.0,0.0,34.0,0.0,0.0,0.0,75.0,5.0
,BROMÖLLA,48.0,12.0,3.0,1.0,62.0,1.0,0.0,0.0,113.0,14.0
,BURLÖV,32.0,2.0,0.0,0.0,34.0,1.0,0.0,0.0,66.0,3.0
,BÅSTAD,33.0,2.0,3.0,1.0,27.0,0.0,1.0,0.0,64.0,3.0
