county,municipality,0-17,of_which_unaccompanied_minors,18-19,of_which_unaccompanied_minors.1,20-64,of_which_unaccompanied_minors.2,>64,of_which_unaccompanied_minors.3,total,of_which_unaccompanied_minors.4
,SKARA,73.0,10.0,8.0,0.0,108.0,0.0,1.0,0.0,190.0,10.0
,SKÖVDE,105.0,14.0,6.0,2.0,162.0,0.0,12.0,0.0,285.0,16.0
,SOTENÄS,13.0,2.0,2.0,2.0,10.0,0.0,0.0,0.0,25.0,4.0
,STENUNGSUND,22.0,4.0,4.0,0.0,28.0,0.0,1.0,0.0,55.0,4.0
,STRÖMSTAD,19.0,7.0,0.0,0.0,24.0,0.0,0.0,0.0,43.0,7.0
,SVENLJUNGA,37.0,2.0,0.0,0.0,45.0,0.0,2.0,0.0,84.0,2.0
,TANUM,42.0,6.0,4.0,1.0,28.0,0.0,0.0,0.0,74.0,7.0
,TIBRO,58.0,2.0,7.0,0.0,88.0,0.0,8.0,0.0,161.0,2.0
,TIDAHOLM,37.0,15.0,5.0,0.0,60.0,0.0,3.0,0.0,105.0,15.0
,TJÖRN,34.0,6.0,1.0,1.0,18.0,0.0,0.0,0.0,53.0,7.0
,TRANEMO,36.0,1.0,4.0,0.0,52.0,0.0,0.0,0.0,92.0,1.0
,TROLLHÄTTAN,162.0,24.0,15.0,3.0,185.0,0.0,2.0,0.0,364.0,27.0
,TÖREBODA,69.0,6.0,7.0,1.0,79.0,0.0,2.0,0.0,157.0,7.0
,UDDEVALLA,140.0,17.0,9.0,2.0,177.0,0.0,2.0,0.0,328.0,19.0
,ULRICEHAMN,61.0,11.0,8.0,2.0,62.0,0.0,3.0,0.0,134.0,13.0
,VARA,19.0,1.0,5.0,1.0,44.0,0.0,0.0,0.0,68.0,2.0
,VÅRGÅRDA,18.0,5.0,2.0,0.0,36.0,0.0,0.0,0.0,56.0,5.0
,VÄNERSBORG,166.0,7.0,10.0,2.0,212.0,0.0,0.0,0.0,388.0,9.0
,ÅMÅL,141.0,9.0,6.0,1.0,115.0,0.0,3.0,0.0,265.0,10.0
,ÖCKERÖ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
VÄSTRA GÖTALANDS LÄN,Delsumma,3413.0,500.0,289.0,73.0,4105.0,23.0,107.0,0.0,7914.0,596.0
ÖREBRO LÄN,ASKERSUND,41.0,2.0,6.0,1.0,66.0,0.0,0.0,0.0,113.0,3.0
,DEGERFORS,36.0,5.0,2.0,0.0,50.0,0.0,0.0,0.0,88.0,5.0
,HALLSBERG,40.0,2.0,4.0,2.0,75.0,0.0,0.0,0.0,119.0,4.0
,HÄLLEFORS,39.0,2.0,2.0,1.0,101.0,0.0,2.0,0.0,144.0,3.0
,KARLSKOGA,108.0,8.0,12.0,3.0,144.0,0.0,2.0,0.0,266.0,11.0
,KUMLA,29.0,4.0,7.0,2.0,39.0,1.0,0.0,0.0,75.0,7.0
,LAXÅ,59.0,16.0,6.0,5.0,42.0,0.0,0.0,0.0,107.0,21.0
,LEKEBERG,10.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0,27.0,0.0
,LINDESBERG,129.0,18.0,15.0,1.0,206.0,2.0,2.0,0.0,352.0,21.0
,LJUSNARSBERG,51.0,6.0,4.0,1.0,74.0,0.0,0.0,0.0,129.0,7.0
,NORA,37.0,5.0,7.0,1.0,36.0,0.0,0.0,0.0,80.0,6.0
,ÖREBRO,240.0,43.0,16.0,5.0,340.0,6.0,18.0,0.0,614.0,54.0
ÖREBRO LÄN,Delsumma,819.0,111.0,82.0,22.0,1189.0,9.0,24.0,0.0,2114.0,142.0
ÖSTERGÖTLANDS LÄN,BOXHOLM,10.0,1.0,4.0,0.0,22.0,1.0,0.0,0.0,36.0,2.0
,FINSPÅNG,47.0,4.0,3.0,0.0,79.0,0.0,0.0,0.0,129.0,4.0
,KINDA,17.0,5.0,0.0,0.0,24.0,0.0,0.0,0.0,41.0,5.0
,LINKÖPING,157.0,36.0,5.0,2.0,153.0,0.0,14.0,0.0,329.0,38.0
,MJÖLBY,35.0,6.0,3.0,2.0,42.0,0.0,0.0,0.0,80.0,8.0
,MOTALA,120.0,13.0,19.0,1.0,245.0,3.0,4.0,0.0,388.0,17.0
,NORRKÖPING,297.0,35.0,35.0,6.0,465.0,2.0,24.0,0.0,821.0,43.0
,SÖDERKÖPING,12.0,6.0,2.0,2.0,5.0,0.0,0.0,0.0,19.0,8.0
,VADSTENA,15.0,4.0,3.0,3.0,14.0,1.0,0.0,0.0,32.0,8.0
,VALDEMARSVIK,65.0,10.0,2.0,1.0,68.0,1.0,0.0,0.0,135.0,12.0
,YDRE,15.0,5.0,2.0,0.0,7.0,0.0,0.0,0.0,24.0,5.0
,ÅTVIDABERG,34.0,11.0,0.0,0.0,40.0,1.0,0.0,0.0,74.0,12.0
,ÖDESHÖG,18.0,5.0,3.0,2.0,15.0,0.0,0.0,0.0,36.0,7.0
ÖSTERGÖTLANDS LÄN,Delsumma,842.0,141.0,81.0,19.0,1179.0,9.0,42.0,0.0,2144.0,169.0
,Totalt,20549.0,3144.0,1838.0,466.0,28175.0,182.0,635.0,2.0,51197.0,3794.0
