county,citizenship,Kvotflykting,of_which_unaccompanied_minors,Ordnat,of_which_unaccompanied_minors.1,Eget,of_which_unaccompanied_minors.2,Övriga,of_which_unaccompanied_minors.3,Anhöriga,of_which_unaccompanied_minors.4,total,of_which_unaccompanied_minors.5
,KINA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
,LIBANON,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
,LIBYEN,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
,NEDERLÄNDERNA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
,NIGERIA,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
,OKÄNT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0
,POLEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0
,RYSSLAND,0.0,0.0,7.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0
,SAUDIARABIEN,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
,SERBIEN,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
,SOMALIA,33.0,0.0,13.0,12.0,40.0,11.0,1.0,0.0,83.0,0.0,170.0,23.0
,STATEN PALESTINA,0.0,0.0,3.0,0.0,11.0,0.0,0.0,0.0,4.0,0.0,18.0,0.0
,STATSLÖS,4.0,0.0,25.0,2.0,85.0,8.0,2.0,0.0,76.0,0.0,192.0,10.0
,SUDAN,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
,SYRIEN,31.0,0.0,123.0,8.0,501.0,20.0,16.0,0.0,241.0,0.0,912.0,28.0
