Citizenship,Decisions,of which granted,of which rejected,of which dublin *1,of which others *2,Average handling time,Proportion of total number of granted decisions,Proportion of total number of granted decisions with dublin and others excluded
RWANDA,10,1.0,2.0,6.0,1.0,219.7,0.1,0.333333333333
ZIMBABWE,2,1.0,1.0,0.0,0.0,389.5,0.5,0.5
SRI LANKA,19,1.0,6.0,12.0,0.0,203.578947368,0.0526315789474,0.142857142857
JAMAICA,2,1.0,1.0,0.0,0.0,234.0,0.5,0.5
FRANKRIKE,4,1.0,3.0,0.0,0.0,10.75,0.25,0.25
UNGERN,7,1.0,1.0,0.0,5.0,66.0,0.142857142857,0.5
KUBA,38,1.0,22.0,1.0,14.0,273.447368421,0.0263157894737,0.0434782608696
KUWAIT,8,1.0,4.0,1.0,2.0,246.375,0.125,0.2
MALAYSIA,1,1.0,0.0,0.0,0.0,531.0,1.0,1.0
MALI,21,1.0,3.0,13.0,4.0,147.523809524,0.047619047619,0.25
STORBRITANNIEN,2,0.0,0.0,0.0,2.0,371.0,0.0,0.0
SLOVENIEN,5,0.0,5.0,0.0,0.0,10.0,0.0,0.0
SLOVAKIEN,4,0.0,4.0,0.0,0.0,33.0,0.0,0.0
TRINIDAD OCH TOBAGO,2,0.0,2.0,0.0,0.0,122.0,0.0,0.0
TURKMENISTAN,5,0.0,0.0,1.0,4.0,115.0,0.0,0.0
SYDAFRIKA,3,0.0,2.0,1.0,0.0,144.333333333,0.0,0.0
SPANIEN,8,0.0,4.0,0.0,4.0,194.875,0.0,0.0
SYDKOREA,4,0.0,2.0,0.0,2.0,162.25,0.0,0.0
TOGO,7,0.0,2.0,4.0,1.0,142.285714286,0.0,0.0
TJECKIEN,1,0.0,1.0,0.0,0.0,4.0,0.0,0.0
THAILAND,6,0.0,3.0,2.0,1.0,229.833333333,0.0,0.0
SYDSUDAN,2,0.0,0.0,2.0,0.0,107.5,0.0,0.0
URUGUAY,1,0.0,0.0,0.0,1.0,159.0,0.0,0.0
MADAGASKAR,3,0.0,3.0,0.0,0.0,294.333333333,0.0,0.0
RUMÄNIEN,45,0.0,36.0,0.0,9.0,127.0,0.0,0.0
COMORERNA,1,0.0,0.0,1.0,0.0,56.0,0.0,0.0
ESTLAND,1,0.0,0.0,0.0,1.0,9.0,0.0,0.0
ARGENTINA,6,0.0,3.0,0.0,3.0,150.5,0.0,0.0
ELFENBENSKUSTEN,19,0.0,6.0,8.0,5.0,210.263157895,0.0,0.0
EKVATORIALGUINEA,1,0.0,0.0,1.0,0.0,136.0,0.0,0.0
ECUADOR,6,0.0,6.0,0.0,0.0,203.666666667,0.0,0.0
DOMINIKANSKA REPUBLIKEN,5,0.0,0.0,0.0,5.0,112.0,0.0,0.0
DJIBOUTI,24,0.0,10.0,11.0,3.0,206.25,0.0,0.0
CHILE,22,0.0,15.0,0.0,7.0,207.090909091,0.0,0.0
NIGER,2,0.0,0.0,1.0,1.0,62.5,0.0,0.0
CENTRALAFRIKANSKA REPUBLIKEN,1,0.0,0.0,1.0,0.0,62.0,0.0,0.0
BURMA,2,0.0,0.0,1.0,1.0,258.5,0.0,0.0
BURKINA FASO,5,0.0,0.0,4.0,1.0,102.6,0.0,0.0
BULGARIEN,9,0.0,8.0,0.0,1.0,158.777777778,0.0,0.0
BRASILIEN,4,0.0,2.0,0.0,2.0,231.0,0.0,0.0
BENIN,3,0.0,0.0,3.0,0.0,106.333333333,0.0,0.0
BELIZE,1,0.0,0.0,0.0,1.0,4.0,0.0,0.0
FILIPPINERNA,13,0.0,6.0,5.0,2.0,161.230769231,0.0,0.0
GRENADA,1,0.0,1.0,0.0,0.0,169.0,0.0,0.0
GUINEA BISSAU,8,0.0,2.0,5.0,1.0,177.875,0.0,0.0
HONDURAS,5,0.0,3.0,0.0,2.0,215.8,0.0,0.0
NICARAGUA,13,0.0,8.0,0.0,5.0,209.384615385,0.0,0.0
NEDERLÄNDERNA,1,0.0,1.0,0.0,0.0,412.0,0.0,0.0
MONTENEGRO,150,0.0,86.0,11.0,53.0,103.053333333,0.0,0.0
MOLDAVIEN,36,0.0,16.0,4.0,16.0,189.222222222,0.0,0.0
MEXICO,8,0.0,3.0,1.0,4.0,203.0,0.0,0.0
MALAWI,1,0.0,0.0,1.0,0.0,101.0,0.0,0.0
AUSTRALIEN,1,0.0,0.0,0.0,1.0,14.0,0.0,0.0
LITAUEN,5,0.0,4.0,0.0,1.0,3.4,0.0,0.0
LETTLAND,2,0.0,0.0,0.0,2.0,158.5,0.0,0.0
KROATIEN,18,0.0,15.0,0.0,3.0,67.2222222222,0.0,0.0
KAP VERDE,4,0.0,3.0,0.0,1.0,345.5,0.0,0.0
KANADA,6,0.0,3.0,1.0,2.0,188.5,0.0,0.0
JAPAN,9,0.0,0.0,0.0,9.0,62.6666666667,0.0,0.0
ITALIEN,5,0.0,2.0,0.0,3.0,132.6,0.0,0.0
INDONESIEN,1,0.0,0.0,0.0,1.0,11.0,0.0,0.0
LIBERIA,7,0.0,3.0,3.0,1.0,201.857142857,0.0,0.0
